-116841.25130000,97942.56520000,1,NELSON,110.000000,109.602501,21440,-116841.251300,97942.565200
-116836.53700000,97943.45330000,2,NELSON,110.000000,109.602501,21440,-116836.537000,97943.453300
-116832.37350000,97944.54390000,3,NELSON,110.000000,109.602501,21440,-116832.373500,97944.543900
-116827.03270000,97943.64810000,4,NELSON,110.000000,109.602501,21440,-116827.032700,97943.648100
-116816.84820000,97942.64590000,5,NELSON,110.000000,109.602501,21440,-116816.848200,97942.645900
-116812.61820000,97938.21590000,6,NELSON,110.000000,109.602501,21440,-116812.618200,97938.215900
-116791.14550000,97940.26790000,7,NELSON,110.000000,109.602501,21440,-116791.145500,97940.267900
-116788.10490000,97939.49730000,8,NELSON,110.000000,109.602501,21440,-116788.104900,97939.497300
-116767.96960000,97934.39460000,9,NELSON,110.000000,109.602501,21440,-116767.969600,97934.394600
-116757.36390000,97933.38670000,10,NELSON,110.000000,109.602501,21440,-116757.363900,97933.386700
-116748.03910000,97930.67330000,11,NELSON,110.000000,109.602501,21440,-116748.039100,97930.673300
-116733.59310000,97932.57370000,12,NELSON,110.000000,109.602501,21440,-116733.593100,97932.573700
-116731.21940000,97930.91870000,13,NELSON,110.000000,109.602501,21440,-116731.219400,97930.918700
-116728.78900000,97930.19470000,14,NELSON,110.000000,109.602501,21440,-116728.789000,97930.194700
-116698.20230000,97929.52720000,15,NELSON,110.000000,109.602501,21440,-116698.202300,97929.527200
-116673.19020000,97934.27780000,16,NELSON,110.000000,109.602501,21440,-116673.190200,97934.277800
-116647.72110000,97927.72940000,17,NELSON,110.000000,109.602501,21440,-116647.721100,97927.729400
-116621.16180000,97928.88960000,18,NELSON,110.000000,109.602501,21440,-116621.161800,97928.889600
-116609.05300000,97924.77660000,19,NELSON,110.000000,109.602501,21440,-116609.053000,97924.776600
-116588.03000000,97911.00530000,20,NELSON,110.000000,109.602501,21440,-116588.030000,97911.005300
-116567.29660000,97904.47780000,21,NELSON,110.000000,109.602501,21440,-116567.296600,97904.477800
-116563.12150000,97900.26290000,22,NELSON,110.000000,109.602501,21440,-116563.121500,97900.262900
-116535.46100000,97888.41950000,23,NELSON,110.000000,109.602501,21440,-116535.461000,97888.419500
-116526.30630000,97889.06300000,24,NELSON,110.000000,109.602501,21440,-116526.306300,97889.063000
-116514.83320000,97884.67020000,25,NELSON,110.000000,109.602501,21440,-116514.833200,97884.670200
-116487.44640000,97872.46730000,26,NELSON,110.000000,109.602501,21440,-116487.446400,97872.467300
-116476.47110000,97862.17430000,27,NELSON,110.000000,109.602501,21440,-116476.471100,97862.174300
-116454.43970000,97846.75870000,28,NELSON,110.000000,109.602501,21440,-116454.439700,97846.758700
-116428.68640000,97832.55740000,29,NELSON,110.000000,109.602501,21440,-116428.686400,97832.557400
-116403.11790000,97817.08230000,30,NELSON,110.000000,109.602501,21440,-116403.117900,97817.082300
-116377.48100000,97803.88910000,31,NELSON,110.000000,109.602501,21440,-116377.481000,97803.889100
-116357.60220000,97791.34590000,32,NELSON,110.000000,109.602501,21440,-116357.602200,97791.345900
-116332.70540000,97774.61340000,33,NELSON,110.000000,109.602501,21440,-116332.705400,97774.613400
-116331.12480000,97774.02270000,34,NELSON,110.000000,109.602501,21440,-116331.124800,97774.022700
-116306.04170000,97764.64830000,35,NELSON,110.000000,109.602501,21440,-116306.041700,97764.648300
-116286.03250000,97753.62210000,36,NELSON,110.000000,109.602501,21440,-116286.032500,97753.622100
-116264.52890000,97736.27630000,37,NELSON,110.000000,109.602501,21440,-116264.528900,97736.276300
-116246.55870000,97717.70410000,38,NELSON,110.000000,109.602501,21440,-116246.558700,97717.704100
-116226.70390000,97707.03450000,39,NELSON,110.000000,109.602501,21440,-116226.703900,97707.034500
-116205.33760000,97690.76220000,40,NELSON,110.000000,109.602501,21440,-116205.337600,97690.762200
-116185.84520000,97674.49800000,41,NELSON,110.000000,109.602501,21440,-116185.845200,97674.498000
-116168.93150000,97667.47570000,42,NELSON,110.000000,109.602501,21440,-116168.931500,97667.475700
-116165.97980000,97664.05180000,43,NELSON,110.000000,109.602501,21440,-116165.979800,97664.051800
-116157.87090000,97659.47330000,44,NELSON,110.000000,109.602501,21440,-116157.870900,97659.473300
-116155.70140000,97659.03950000,45,NELSON,110.000000,109.602501,21440,-116155.701400,97659.039500
-116140.62510000,97656.00640000,46,NELSON,110.000000,109.602501,21440,-116140.625100,97656.006400
-116136.46520000,97654.80170000,47,NELSON,110.000000,109.602501,21440,-116136.465200,97654.801700
-116131.76970000,97653.60220000,48,NELSON,110.000000,109.602501,21440,-116131.769700,97653.602200
-116131.97770000,97641.71840000,49,NELSON,110.000000,109.602501,21440,-116131.977700,97641.718400
-116132.53000000,97629.84340000,50,NELSON,110.000000,109.602501,21440,-116132.530000,97629.843400
-116135.62740000,97603.96010000,51,NELSON,110.000000,109.602501,21440,-116135.627400,97603.960100
-116137.27300000,97528.27990000,52,NELSON,110.000000,109.602501,21440,-116137.273000,97528.279900
-116137.43650000,97520.76270000,53,NELSON,110.000000,109.602501,21440,-116137.436500,97520.762700
-116143.92270000,97509.18440000,54,NELSON,110.000000,109.602501,21440,-116143.922700,97509.184400
-116186.09140000,97501.97230000,55,NELSON,110.000000,109.602501,21440,-116186.091400,97501.972300
-116307.81270000,97509.22910000,56,NELSON,110.000000,109.602501,21440,-116307.812700,97509.229100
-116681.30430000,97526.65660000,57,NELSON,110.000000,109.602501,21440,-116681.304300,97526.656600
-116716.45100000,97528.27990000,58,NELSON,110.000000,109.602501,21440,-116716.451000,97528.279900
